lad_code,n,mean,rooms
E07000135,110,729,Two
E07000136,700,653,Two
E07000137,710,549,Two
E07000138,680,690,Two
E07000139,360,637,Two
E07000140,500,653,Two
E07000141,680,643,Two
E07000142,270,564,Two
E07000150,260,755,Two
E07000151,160,780,Two
E07000152,210,744,Two
E07000153,430,727,Two
E07000154,1090,785,Two
E07000155,140,840,Two
E07000156,210,713,Two
E07000170,490,586,Two
E07000171,270,555,Two
E07000172,360,727,Two
E07000173,380,674,Two
E07000174,650,570,Two
E07000175,390,609,Two
E07000176,430,741,Two
E06000019,560,673,Two
E06000051,910,640,Two
E06000021,1430,504,Two
E06000020,500,637,Two
E07000192,310,646,Two
E07000193,500,651,Two
E07000194,410,786,Two
E07000195,440,615,Two
E07000196,100,703,Two
E07000197,510,650,Two
E07000198,240,548,Two
E07000199,250,715,Two
E07000218,220,694,Two
E07000219,420,645,Two
E07000220,290,757,Two
E07000221,460,864,Two
E07000222,1000,933,Two
E08000025,2180,832,Two
E08000026,790,767,Two
E08000027,520,672,Two
E08000028,550,695,Two
E08000029,560,877,Two
E08000030,430,651,Two
E08000031,300,665,Two
E07000234,150,746,Two
E07000235,180,755,Two
E07000236,170,720,Two
E07000237,440,738,Two
E07000238,340,748,Two
E07000239,360,640,Two
E06000055,870,855,Two
E06000056,1430,926,Two
E06000032,840,901,Two
E06000031,1220,737,Two
E06000033,1620,951,Two
E06000034,1060,994,Two
E07000008,840,1391,Two
E07000009,400,823,Two
E07000010,400,697,Two
E07000011,920,829,Two
E07000012,570,1085,Two
E07000066,740,1051,Two
E07000067,430,893,Two
E07000068,530,1220,Two
E07000069,290,985,Two
E07000070,1040,1028,Two
E07000071,960,844,Two
E07000072,240,1260,Two
E07000073,450,1032,Two
E07000074,70,857,Two
E07000075,270,1005,Two
E07000076,670,783,Two
E07000077,220,994,Two
E07000095,300,1137,Two
E07000096,530,1173,Two
E07000242,830,1157,Two
E07000098,310,1363,Two
E07000099,380,1032,Two
E07000240,720,1382,Two
E07000243,270,1055,Two
E07000102,220,1309,Two
E07000103,380,1325,Two
E07000241,410,1143,Two
E07000143,530,712,Two
E07000144,360,749,Two
E07000145,510,627,Two
E07000146,720,703,Two
E07000147,450,696,Two
E07000148,960,822,Two
E07000149,200,755,Two
E07000200,330,783,Two
E07000244,650,684,Two
E07000202,780,701,Two
E07000203,130,773,Two
E07000245,700,953,Two
E09000007,510,2319,Two
E09000001,20,2503,Two
E09000012,330,1954,Two
E09000013,460,2088,Two
E09000014,500,1675,Two
E09000019,320,2133,Two
E09000020,1040,3174,Two
E09000022,560,1847,Two
E09000023,650,1457,Two
E09000025,590,1532,Two
E09000028,1060,1988,Two
E09000030,520,1984,Two
E09000032,730,1911,Two
E09000033,400,3260,Two
E09000002,340,1266,Two
E09000003,1020,1524,Two
E09000004,290,1265,Two
E09000005,270,1513,Two
E09000006,980,1380,Two
E09000008,640,1274,Two
E09000009,700,1591,Two
E09000010,330,1372,Two
E09000011,690,1510,Two
E09000015,570,1386,Two
E09000016,330,1238,Two
E09000017,980,1321,Two
E09000018,550,1517,Two
E09000021,290,1496,Two
E09000024,350,1644,Two
E09000026,580,1364,Two
E09000027,540,1753,Two
E09000029,490,1279,Two
E09000031,630,1449,Two
E06000036,650,1076,Two
E06000043,940,1367,Two
E06000060,1270,1119,Two
E06000046,1090,703,Two
E06000035,960,915,Two
E06000042,820,1064,Two
E06000044,1190,939,Two
E06000038,1870,1119,Two
E06000039,320,1126,Two
E06000045,1740,923,Two
E06000037,580,1016,Two
E06000040,840,1297,Two
E06000041,850,1081,Two
E07000061,510,955,Two
E07000062,420,784,Two
E07000063,330,1110,Two
E07000064,300,913,Two
E07000065,280,1062,Two
E07000084,890,969,Two
E07000085,170,994,Two
E07000086,830,902,Two
E07000087,540,896,Two
E07000088,850,816,Two
E07000089,400,1061,Two
E07000090,320,889,Two
E07000091,690,965,Two
E07000092,530,1011,Two
E07000093,290,976,Two
E07000094,620,1067,Two
E07000105,520,939,Two
E07000106,590,981,Two
E07000107,420,1163,Two
E07000108,410,738,Two
E07000112,620,732,Two
E07000109,400,965,Two
E07000110,580,956,Two
E07000111,330,1280,Two
E07000113,290,890,Two
E07000114,470,834,Two
E07000115,330,1112,Two
E07000116,420,1177,Two
E07000177,460,1017,Two
E07000178,960,1376,Two
E07000179,430,1091,Two
E07000180,440,1020,Two
E07000181,190,1081,Two
E07000207,540,1358,Two
E07000208,250,1274,Two
E07000209,600,1321,Two
E07000210,310,1233,Two
E07000211,490,1269,Two
E07000212,340,1260,Two
E07000213,190,1287,Two
E07000214,390,1072,Two
E07000215,270,1242,Two
E07000216,360,1214,Two
E07000217,660,1286,Two
E07000223,120,1112,Two
E07000224,390,960,Two
E07000225,430,1042,Two
E07000226,410,1125,Two
E07000227,710,1095,Two
E07000228,390,1075,Two
E07000229,490,1048,Two
E06000022,1060,1170,Two
E06000058,2780,954,Two
E06000023,1780,1266,Two
E06000052,3210,758,Two
E06000059,1160,824,Two
E06000053,10,628,Two
E06000024,970,888,Two
E06000026,1700,749,Two
E06000025,800,1011,Two
E06000030,1030,779,Two
E06000027,660,724,Two
E06000054,1610,801,Two
E07000040,660,738,Two
E07000041,590,924,Two
E07000042,420,708,Two
E07000043,360,694,Two
E07000044,440,798,Two
E07000045,490,767,Two
E07000046,230,643,Two
E07000047,250,659,Two
E07000078,500,931,Two
E07000079,150,910,Two
E07000080,100,707,Two
E07000081,290,780,Two
E07000082,310,790,Two
E07000083,360,736,Two
E07000187,450,817,Two
E07000188,410,743,Two
E07000246,740,757,Two
E07000189,890,725,Two
E06000047,1580,571,Three
E06000005,510,609,Three
E06000001,250,539,Three
E06000002,380,596,Three
E06000057,620,646,Three
E06000003,290,578,Three
E06000004,560,642,Three
E08000037,280,672,Three
E08000021,410,897,Three
E08000022,350,754,Three
E08000023,210,614,Three
E08000024,400,617,Three
E06000008,390,613,Three
E06000009,530,640,Three
E06000049,1180,1001,Three
E06000050,840,884,Three
E06000006,320,678,Three
E06000007,500,876,Three
E07000026,290,659,Three
E07000027,200,691,Three
E07000028,420,632,Three
E07000029,250,621,Three
E07000030,200,716,Three
E07000031,340,850,Three
E08000001,430,804,Three
E08000002,260,881,Three
E08000003,880,1164,Three
E08000004,210,801,Three
E08000005,320,716,Three
E08000006,410,1015,Three
E08000007,530,1033,Three
E08000008,330,821,Three
E08000009,430,1231,Three
E08000010,960,657,Three
E07000117,220,564,Three
E07000118,320,739,Three
E07000119,190,838,Three
E07000120,240,577,Three
E07000121,320,740,Three
E07000122,210,592,Three
E07000123,340,683,Three
E07000124,230,836,Three
E07000125,160,700,Three
E07000126,300,733,Three
E07000127,220,656,Three
E07000128,300,708,Three
E08000011,160,724,Three
E08000012,1180,758,Three
E08000014,500,787,Three
E08000013,430,721,Three
E08000015,820,752,Three
E06000011,460,681,Three
E06000010,570,571,Three
E06000012,590,569,Three
E06000013,350,616,Three
E06000014,700,1035,Three
E07000163,210,740,Three
E07000164,170,751,Three
E07000165,610,1063,Three
E07000166,180,690,Three
E07000167,220,747,Three
E07000168,180,711,Three
E07000169,80,790,Three
E08000016,540,606,Three
E08000017,1140,629,Three
E08000018,1220,597,Three
E08000019,1400,768,Three
E08000032,850,697,Three
E08000033,410,687,Three
E08000034,550,712,Three
E08000035,1160,1007,Three
E08000036,440,739,Three
E06000015,1090,746,Three
E06000016,450,847,Three
E06000018,1220,843,Three
E06000017,110,821,Three
E07000032,280,752,Three
E07000033,370,614,Three
E07000034,440,673,Three
E07000035,220,800,Three
E07000036,450,773,Three
E07000037,110,836,Three
E07000038,210,752,Three
E07000039,270,834,Three
E07000129,120,869,Three
E07000130,520,831,Three
E07000131,40,890,Three
E07000132,190,812,Three
E07000133,220,756,Three
E07000134,240,812,Three
E07000135,110,894,Three
E07000136,530,772,Three
E07000137,520,678,Three
E07000138,450,770,Three
E07000139,400,775,Three
E07000140,370,765,Three
E07000141,670,771,Three
E07000142,280,650,Three
E07000150,330,852,Three
E07000151,130,943,Three
E07000152,180,894,Three
E07000153,300,863,Three
E07000154,650,958,Three
E07000155,120,1107,Three
E07000156,180,817,Three
E07000170,560,660,Three
E07000171,290,693,Three
E07000172,390,814,Three
E07000173,310,813,Three
E07000174,770,670,Three
E07000175,390,715,Three
E07000176,280,962,Three
E06000019,340,856,Three
E06000051,620,792,Three
E06000021,680,638,Three
E06000020,380,775,Three
E07000192,240,794,Three
E07000193,340,812,Three
E07000194,310,982,Three
E07000195,380,737,Three
E07000196,110,838,Three
E07000197,510,778,Three
E07000198,150,707,Three
E07000199,230,867,Three
E07000218,190,821,Three
E07000219,370,764,Three
E07000220,160,908,Three
E07000221,280,1123,Three
E07000222,390,1172,Three
E08000025,1760,925,Three
E08000026,640,883,Three
E08000027,400,825,Three
E08000028,550,828,Three
E08000029,470,1058,Three
E08000030,380,801,Three
E08000031,310,794,Three
E07000234,140,987,Three
E07000235,130,891,Three
E07000236,180,815,Three
E07000237,210,900,Three
E07000238,290,947,Three
E07000239,330,773,Three
E06000055,650,1071,Three
E06000056,630,1182,Three
E06000032,600,1150,Three
E06000031,1110,860,Three
E06000033,660,1181,Three
E06000034,620,1248,Three
E07000008,420,1574,Three
E07000009,240,1043,Three
E07000010,350,832,Three
E07000011,580,1012,Three
E07000012,460,1240,Three
E07000066,550,1280,Three
E07000067,250,1138,Three
E07000068,190,1665,Three
E07000069,180,1205,Three
E07000070,580,1272,Three
E07000071,500,1086,Three
E07000072,140,1605,Three
E07000073,290,1258,Three
E07000074,40,1079,Three
E07000075,180,1257,Three
E07000076,380,982,Three
E07000077,180,1239,Three
E07000095,130,1517,Three
E07000096,230,1492,Three
E07000242,290,1521,Three
E07000098,160,1721,Three
E07000099,190,1325,Three
E07000240,270,1877,Three
E07000243,180,1286,Three
E07000102,110,1691,Three
E07000103,130,1565,Three
E07000241,250,1456,Three
E07000143,490,883,Three
E07000144,370,907,Three
E07000145,340,730,Three
E07000146,570,865,Three
E07000147,280,862,Three
E07000148,690,907,Three
E07000149,220,946,Three
E07000200,220,928,Three
E07000244,590,804,Three
E07000202,680,808,Three
E07000203,100,943,Three
E07000245,700,1171,Three
E09000007,190,3200,Three
E09000012,160,2410,Three
E09000013,150,2979,Three
E09000014,160,2072,Three
E09000019,130,2571,Three
E09000020,340,4957,Three
E09000022,220,2329,Three
E09000023,240,1840,Three
E09000025,330,1795,Three
E09000028,320,2413,Three
E09000030,150,2380,Three
E09000032,300,2517,Three
E09000033,140,5008,Three
E09000002,240,1505,Three
E09000003,370,2012,Three
E09000004,250,1525,Three
E09000005,210,1853,Three
E09000006,420,1749,Three
E09000008,250,1552,Three
E09000009,270,1992,Three
E09000010,200,1684,Three
E09000011,330,1808,Three
E09000015,380,1759,Three
E09000016,260,1485,Three
E09000017,560,1534,Three
E09000018,290,1782,Three
E09000021,120,1975,Three
E09000024,160,2267,Three
E09000026,320,1672,Three
E09000027,240,2356,Three
E09000029,160,1663,Three
E09000031,300,1751,Three
E06000036,310,1286,Three
E06000043,440,1835,Three
E06000060,690,1476,Three
E06000046,570,904,Three
E06000035,740,1064,Three
E06000042,510,1262,Three
E06000044,700,1094,Three
E06000038,620,1279,Three
E06000039,160,1442,Three
E06000045,750,1126,Three
E06000037,270,1280,Three
E06000040,450,1595,Three
E06000041,630,1318,Three
E07000061,240,1140,Three
E07000062,200,1008,Three
E07000063,260,1314,Three
E07000064,150,1192,Three
E07000065,180,1353,Three
E07000084,450,1228,Three
E07000085,160,1276,Three
E07000086,490,1165,Three
E07000087,330,1165,Three
E07000088,420,1029,Three
E07000089,260,1357,Three
E07000090,240,1132,Three
E07000091,490,1248,Three
E07000092,310,1298,Three
E07000093,300,1211,Three
E07000094,310,1351,Three
E07000105,390,1127,Three
E07000106,360,1197,Three
E07000107,220,1428,Three
E07000108,310,913,Three
E07000112,270,921,Three
E07000109,320,1200,Three
E07000110,270,1209,Three
E07000111,200,1690,Three
E07000113,260,1068,Three
E07000114,190,1020,Three
E07000115,200,1401,Three
E07000116,220,1479,Three
E07000177,330,1234,Three
E07000178,450,1638,Three
E07000179,270,1384,Three
E07000180,280,1244,Three
E07000181,140,1341,Three
E07000207,220,1899,Three
E07000208,110,1658,Three
E07000209,300,1599,Three
E07000210,90,1735,Three
E07000211,140,1606,Three
E07000212,150,1450,Three
E07000213,90,1533,Three
E07000214,220,1389,Three
E07000215,120,1642,Three
E07000216,170,1575,Three
E07000217,250,1634,Three
E07000223,70,1369,Three
E07000224,290,1198,Three
E07000225,350,1308,Three
E07000226,250,1380,Three
E07000227,350,1423,Three
E07000228,240,1403,Three
E07000229,240,1290,Three
E06000022,650,1425,Three
E06000058,1290,1266,Three
E06000023,840,1560,Three
E06000052,2440,937,Three
E06000059,830,1043,Three
E06000053,20,884,Three
E06000024,460,1082,Three
E06000026,930,886,Three
E06000025,570,1323,Three
E06000030,500,971,Three
E06000027,390,895,Three
E06000054,1230,1008,Three
E07000040,400,943,Three
E07000041,350,1207,Three
E07000042,310,900,Three
E07000043,250,842,Three
E07000044,260,1025,Three
E07000045,270,1009,Three
E07000046,180,787,Three
E07000047,210,821,Three
E07000078,250,1219,Three
E07000079,140,1205,Three
E07000080,90,839,Three
E07000081,160,1009,Three
E07000082,170,1021,Three
E07000083,290,953,Three
E07000187,270,1066,Three
E07000188,310,948,Three
E07000246,470,952,Three
E07000189,610,909,Three
E06000047,310,901,Four
E06000005,120,941,Four
E06000001,20,725,Four
E06000002,40,780,Four
E06000057,130,1105,Four
E06000003,40,855,Four
E06000004,110,990,Four
E08000037,40,914,Four
E08000021,220,1671,Four
E08000022,60,1037,Four
E08000023,30,907,Four
E08000024,70,893,Four
E06000008,70,902,Four
E06000009,90,797,Four
E06000049,400,1872,Four
E06000050,210,1371,Four
E06000006,60,1056,Four
E06000007,120,1326,Four
E07000026,60,832,Four
E07000027,40,919,Four
E07000028,100,860,Four
E07000029,40,765,Four
E07000030,50,885,Four
E07000031,90,1210,Four
E08000001,80,1203,Four
E08000002,40,1209,Four
E08000003,360,1871,Four
E08000004,40,1083,Four
E08000005,40,1110,Four
E08000006,70,1379,Four
E08000007,130,1554,Four
E08000008,30,1067,Four
E08000009,140,2005,Four
E08000010,130,942,Four
E07000117,40,838,Four
E07000118,80,1142,Four
E07000119,60,1332,Four
E07000120,30,817,Four
E07000121,130,906,Four
E07000122,30,918,Four
E07000123,70,1063,Four
E07000124,60,1306,Four
E07000125,30,974,Four
E07000126,50,1042,Four
E07000127,50,976,Four
E07000128,40,1064,Four
E08000011,20,1035,Four
E08000012,150,1064,Four
E08000014,80,1290,Four
E08000013,50,1119,Four
E08000015,160,1064,Four
E06000011,120,1023,Four
E06000010,60,809,Four
E06000012,40,873,Four
E06000013,70,809,Four
E06000014,260,1737,Four
E07000163,30,1064,Four
E07000164,60,1164,Four
E07000165,250,1783,Four
E07000166,50,955,Four
E07000167,60,1103,Four
E07000168,40,805,Four
E07000169,60,1356,Four
E08000016,60,845,Four
E08000017,130,928,Four
E08000018,100,936,Four
E08000019,260,1204,Four
E08000032,170,1014,Four
E08000033,100,980,Four
E08000034,170,1052,Four
E08000035,790,1960,Four
E08000036,110,1081,Four
E06000015,200,1072,Four
E06000016,160,1405,Four
E06000018,170,1345,Four
E06000017,50,1374,Four
E07000032,60,1050,Four
E07000033,60,962,Four
E07000034,60,954,Four
E07000035,70,1298,Four
E07000036,40,1094,Four
E07000037,20,1119,Four
E07000038,50,1034,Four
E07000039,70,1159,Four
E07000129,30,1178,Four
E07000130,120,1252,Four
E07000131,20,1420,Four
E07000132,50,1124,Four
E07000133,70,1276,Four
E07000134,70,1173,Four
E07000135,40,1211,Four
E07000136,80,955,Four
E07000137,110,900,Four
E07000138,90,1072,Four
E07000139,120,1075,Four
E07000140,60,977,Four
E07000141,180,1257,Four
E07000142,80,965,Four
E07000150,60,1173,Four
E07000151,60,1599,Four
E07000152,60,1369,Four
E07000153,50,1191,Four
E07000154,140,1291,Four
E07000155,50,1546,Four
E07000156,30,1141,Four
E07000170,60,920,Four
E07000171,50,989,Four
E07000172,70,1243,Four
E07000173,60,1155,Four
E07000174,100,951,Four
E07000175,70,1067,Four
E07000176,110,1402,Four
E06000019,120,1229,Four
E06000051,130,1238,Four
E06000021,90,860,Four
E06000020,100,1083,Four
E07000192,40,1139,Four
E07000193,80,1172,Four
E07000194,90,1429,Four
E07000195,80,1255,Four
E07000196,30,1193,Four
E07000197,120,1111,Four
E07000198,30,1006,Four
E07000199,40,1232,Four
E07000218,40,1359,Four
E07000219,50,1081,Four
E07000220,50,1389,Four
E07000221,110,1849,Four
E07000222,150,1628,Four
E08000025,280,1336,Four
E08000026,110,1296,Four
E08000027,50,1078,Four
E08000028,60,1064,Four
E08000029,190,1715,Four
E08000030,60,1140,Four
E08000031,30,1145,Four
E07000234,30,1480,Four
E07000235,30,1443,Four
E07000236,20,1209,Four
E07000237,40,1165,Four
E07000238,80,1396,Four
E07000239,30,1117,Four
E06000055,180,1467,Four
E06000056,180,1670,Four
E06000032,100,1481,Four
E06000031,270,1219,Four
E06000033,150,1614,Four
E06000034,130,1667,Four
E07000008,180,2340,Four
E07000009,100,1560,Four
E07000010,70,1150,Four
E07000011,230,1467,Four
E07000012,200,1682,Four
E07000066,140,1682,Four
E07000067,80,1655,Four
E07000068,90,2496,Four
E07000069,70,1556,Four
E07000070,160,1715,Four
E07000071,160,1424,Four
E07000072,50,2351,Four
E07000073,40,1536,Four
E07000074,30,1598,Four
E07000075,50,1760,Four
E07000076,110,1294,Four
E07000077,120,1683,Four
E07000095,30,1927,Four
E07000096,80,2072,Four
E07000242,130,2226,Four
E07000098,70,2572,Four
E07000099,60,1861,Four
E07000240,120,2809,Four
E07000243,40,1614,Four
E07000102,50,2441,Four
E07000103,40,2205,Four
E07000241,80,2110,Four
E07000143,170,1333,Four
E07000144,90,1308,Four
E07000145,60,947,Four
E07000146,160,1368,Four
E07000147,60,1305,Four
E07000148,260,1577,Four
E07000149,90,1400,Four
E07000200,50,1258,Four
E07000244,120,1131,Four
E07000202,80,1102,Four
E07000203,40,1375,Four
E07000245,440,1571,Four
E09000007,60,4431,Four
E09000012,60,3188,Four
E09000013,120,4849,Four
E09000014,110,3071,Four
E09000019,50,3544,Four
E09000020,110,8235,Four
E09000022,100,3252,Four
E09000023,100,2414,Four
E09000025,100,2118,Four
E09000028,160,3332,Four
E09000030,30,2947,Four
E09000032,170,3438,Four
E09000033,30,11941,Four
E09000002,40,1844,Four
E09000003,200,2839,Four
E09000004,70,1680,Four
E09000005,50,2430,Four
E09000006,170,2633,Four
E09000008,130,2161,Four
E09000009,150,2803,Four
E09000010,60,2311,Four
E09000011,90,2354,Four
E09000015,130,2377,Four
E09000016,50,1899,Four
E09000017,210,2116,Four
E09000018,100,2534,Four
E09000021,50,2554,Four
E09000024,80,3165,Four
E09000026,120,2138,Four
E09000027,90,3864,Four
E09000029,50,2311,Four
E09000031,80,2131,Four
E06000036,110,1890,Four
E06000043,360,2615,Four
E06000060,350,2246,Four
E06000046,150,1219,Four
E06000035,120,1452,Four
E06000042,230,1639,Four
E06000044,230,2112,Four
E06000038,210,1911,Four
E06000039,40,1950,Four
E06000045,230,1513,Four
E06000037,120,1836,Four
E06000040,170,2620,Four
E06000041,320,1810,Four
E07000061,50,1446,Four
E07000062,60,1276,Four
E07000063,60,2108,Four
E07000064,40,1756,Four
E07000065,110,2070,Four
E07000084,140,1678,Four
E07000085,40,1894,Four
E07000086,90,1562,Four
E07000087,100,1638,Four
E07000088,70,1347,Four
E07000089,90,2009,Four
E07000090,40,1456,Four
E07000091,160,1807,Four
E07000092,60,1772,Four
E07000093,110,1761,Four
E07000094,240,2128,Four
E07000105,100,1609,Four
E07000106,240,1814,Four
E07000107,60,1869,Four
E07000108,60,1327,Four
E07000112,90,1244,Four
E07000109,60,1593,Four
E07000110,100,1637,Four
E07000111,90,2952,Four
E07000113,60,1475,Four
E07000114,50,1275,Four
E07000115,80,2172,Four
E07000116,70,2370,Four
E07000177,90,1925,Four
E07000178,280,2695,Four
E07000179,110,2058,Four
E07000180,100,1957,Four
E07000181,60,2036,Four
E07000207,120,3003,Four
E07000208,60,2477,Four
E07000209,200,2340,Four
E07000210,40,2525,Four
E07000211,40,2136,Four
E07000212,110,2074,Four
E07000213,30,2041,Four
E07000214,120,2121,Four
E07000215,50,2521,Four
E07000216,60,2358,Four
E07000217,150,2661,Four
E07000223,20,1728,Four
E07000224,70,1580,Four
E07000225,80,1941,Four
E07000226,70,1758,Four
E07000227,140,2215,Four
E07000228,80,1876,Four
E07000229,60,1708,Four
E06000022,810,2503,Four
E06000058,730,1923,Four
E06000023,960,2806,Four
E06000052,700,1553,Four
E06000059,240,1547,Four
E06000053,10,1238,Four
E06000024,130,1464,Four
E06000026,240,1380,Four
E06000025,280,2218,Four
E06000030,130,1273,Four
E06000027,100,1211,Four
E06000054,390,1510,Four
E07000040,110,1315,Four
E07000041,190,2287,Four
E07000042,70,1356,Four
E07000043,70,1153,Four
E07000044,80,1514,Four
E07000045,80,1372,Four
E07000046,50,1134,Four
E07000047,80,1218,Four
E07000078,80,1864,Four
E07000079,50,2076,Four
E07000080,20,1459,Four
E07000081,80,1377,Four
E07000082,60,1476,Four
E07000083,70,1543,Four
E07000187,110,1760,Four
E07000188,90,1222,Four
E07000246,120,1282,Four
E07000189,150,1492,Four
